Model,Backend,Accuracy,F1,MCC,AUC
Price + Fundamentals,-,0.5174731182795699,0.5379665379665379,0.0334001737988994,0.5205322309689422
Price + Text (bilinear) + Fundamentals,USE,0.5193548387096775,0.6683976261127597,0.03319528726495598,0.5087390550302896
Price + Text (bilinear) + Fundamentals,FinBERT,0.5174731182795699,0.5930627975515756,0.027744199374718694,0.5135000011569736
Price + Text (bilinear),FinBERT,0.513978494623656,0.6780626780626781,0.020437555101758223,0.49862594929679144
Price + Text (bilinear) + Fundamentals,VADER,0.5161290322580645,0.6630475477349307,0.019562742144354696,0.523675149596679
Price + Text (bilinear),USE,0.5134408602150538,0.6780505158306652,0.014439855794305973,0.5181440929558823
Price only,-,0.513978494623656,0.6719883889695211,0.010819840548225485,0.5425183438155137
Price + Text (bilinear),VADER,0.4975806451612903,0.3961227786752827,0.0048273633168473135,0.5254447406296713
