Sector,N,Accuracy,F1_macro,AUC
Financial,712,0.4958,0.4787,0.53
Utilities,781,0.5339,0.5093,0.5282
Industrial_Goods,363,0.4766,0.4288,0.5171
Technology,681,0.5022,0.4782,0.5142
Services,552,0.4964,0.4739,0.5041
Conglomerates,947,0.4752,0.4441,0.501
Basic_Materials,821,0.4762,0.4489,0.4913
Consumer_Goods,671,0.5097,0.4935,0.4906
Healthcare,747,0.4846,0.4528,0.4813
