Sector,N,Accuracy,F1_macro,AUC
Financial,712,0.5,0.4805,0.53
Utilities,781,0.5301,0.5012,0.5285
Industrial_Goods,363,0.4848,0.4285,0.519
Technology,681,0.5051,0.4826,0.5125
Conglomerates,947,0.4784,0.4435,0.5003
Services,552,0.4855,0.4634,0.5
Basic_Materials,821,0.4653,0.4308,0.49
Consumer_Goods,671,0.5112,0.4947,0.4856
Healthcare,747,0.4819,0.4469,0.4825
