Model,Backend,Accuracy,F1,MCC,AUC
Price + Text (bilinear) + Fundamentals,FinBERT,0.5325268817204301,0.591304347826087,0.060424261450408814,0.5261165083926861
Price + Text (bilinear) + Fundamentals,VADER,0.521236559139785,0.6702462506943159,0.04140616103563334,0.511314478135514
Price + Text (bilinear) + Fundamentals,USE,0.5220430107526882,0.5557221389305347,0.04118019382170339,0.5144770653134705
Price + Fundamentals,-,0.5174731182795699,0.5379665379665379,0.0334001737988994,0.5205322309689422
Price only,-,0.513978494623656,0.6719883889695211,0.010819840548225485,0.5425183438155137
Price + Text (bilinear),USE,0.5129032258064516,0.6780383795309168,0.0,0.4886242022667425
Price + Text (bilinear),FinBERT,0.5129032258064516,0.6780383795309168,0.0,0.5119291203298764
Price + Text (bilinear),VADER,0.5126344086021506,0.6778034476630531,-0.015980001741481634,0.5154217342107821
