Ticker,Metric,Filed_Date,Period_End,Value,Form
AAPL,Revenue,2015-01-28,2013-12-28,57594000000.0,10-Q
AAPL,Revenue,2015-10-28,2013-12-28,57594000000.0,10-K
AAPL,Revenue,2014-04-24,2014-03-29,103240000000.0,10-Q
AAPL,Revenue,2015-04-28,2014-03-29,103240000000.0,10-Q
AAPL,Revenue,2014-04-24,2014-03-29,45646000000.0,10-Q
AAPL,Revenue,2014-10-27,2014-03-29,45646000000.0,10-K
AAPL,Revenue,2015-04-28,2014-03-29,45646000000.0,10-Q
AAPL,Revenue,2015-10-28,2014-03-29,45646000000.0,10-K
AAPL,Revenue,2014-07-23,2014-06-28,140672000000.0,10-Q
AAPL,Revenue,2015-07-22,2014-06-28,140672000000.0,10-Q
AAPL,Revenue,2014-07-23,2014-06-28,37432000000.0,10-Q
AAPL,Revenue,2014-10-27,2014-06-28,37432000000.0,10-K
AAPL,Revenue,2015-07-22,2014-06-28,37432000000.0,10-Q
AAPL,Revenue,2015-10-28,2014-06-28,37432000000.0,10-K
AAPL,Revenue,2014-10-27,2014-09-27,182795000000.0,10-K
AAPL,Revenue,2015-10-28,2014-09-27,182795000000.0,10-K
AAPL,Revenue,2014-10-27,2014-09-27,42123000000.0,10-K
AAPL,Revenue,2015-10-28,2014-09-27,42123000000.0,10-K
AAPL,Revenue,2015-01-28,2014-12-27,74599000000.0,10-Q
AAPL,Revenue,2015-10-28,2014-12-27,74599000000.0,10-K
AAPL,Revenue,2016-01-27,2014-12-27,74599000000.0,10-Q
AAPL,Revenue,2015-04-28,2015-03-28,132609000000.0,10-Q
AAPL,Revenue,2016-04-27,2015-03-28,132609000000.0,10-Q
AAPL,Revenue,2015-04-28,2015-03-28,58010000000.0,10-Q
AAPL,Revenue,2015-10-28,2015-03-28,58010000000.0,10-K
AAPL,Revenue,2016-04-27,2015-03-28,58010000000.0,10-Q
AAPL,Revenue,2015-07-22,2015-06-27,182214000000.0,10-Q
AAPL,Revenue,2015-07-22,2015-06-27,49605000000.0,10-Q
AAPL,Revenue,2015-10-28,2015-06-27,49605000000.0,10-K
AAPL,Revenue,2015-10-28,2015-09-26,233715000000.0,10-K
AAPL,Revenue,2015-10-28,2015-09-26,51501000000.0,10-K
AAPL,Revenue,2016-01-27,2015-12-26,75872000000.0,10-Q
AAPL,Revenue,2016-04-27,2016-03-26,126429000000.0,10-Q
AAPL,Revenue,2016-04-27,2016-03-26,50557000000.0,10-Q
AAPL,NetIncome,2013-10-30,2011-09-24,25922000000.0,10-K
AAPL,NetIncome,2013-01-24,2011-12-31,13064000000.0,10-Q
AAPL,NetIncome,2013-10-30,2011-12-31,13064000000.0,10-K
AAPL,NetIncome,2013-04-24,2012-03-31,24686000000.0,10-Q
AAPL,NetIncome,2013-04-24,2012-03-31,11622000000.0,10-Q
AAPL,NetIncome,2013-10-30,2012-03-31,11622000000.0,10-K
AAPL,NetIncome,2013-07-24,2012-06-30,33510000000.0,10-Q
AAPL,NetIncome,2013-07-24,2012-06-30,8824000000.0,10-Q
AAPL,NetIncome,2013-10-30,2012-06-30,8824000000.0,10-K
AAPL,NetIncome,2013-10-30,2012-09-29,41733000000.0,10-K
AAPL,NetIncome,2014-10-27,2012-09-29,41733000000.0,10-K
AAPL,NetIncome,2013-10-30,2012-09-29,8223000000.0,10-K
AAPL,NetIncome,2013-01-24,2012-12-29,13078000000.0,10-Q
AAPL,NetIncome,2013-10-30,2012-12-29,13078000000.0,10-K
AAPL,NetIncome,2014-01-28,2012-12-29,13078000000.0,10-Q
AAPL,NetIncome,2014-10-27,2012-12-29,13078000000.0,10-K
AAPL,NetIncome,2013-04-24,2013-03-30,22625000000.0,10-Q
AAPL,NetIncome,2014-04-24,2013-03-30,22625000000.0,10-Q
AAPL,NetIncome,2013-04-24,2013-03-30,9547000000.0,10-Q
AAPL,NetIncome,2013-10-30,2013-03-30,9547000000.0,10-K
AAPL,NetIncome,2014-04-24,2013-03-30,9547000000.0,10-Q
AAPL,NetIncome,2014-10-27,2013-03-30,9547000000.0,10-K
AAPL,NetIncome,2013-07-24,2013-06-29,29525000000.0,10-Q
AAPL,NetIncome,2014-07-23,2013-06-29,29525000000.0,10-Q
AAPL,NetIncome,2013-07-24,2013-06-29,6900000000.0,10-Q
AAPL,NetIncome,2013-10-30,2013-06-29,6900000000.0,10-K
AAPL,NetIncome,2014-07-23,2013-06-29,6900000000.0,10-Q
AAPL,NetIncome,2014-10-27,2013-06-29,6900000000.0,10-K
AAPL,NetIncome,2013-10-30,2013-09-28,37037000000.0,10-K
AAPL,NetIncome,2014-10-27,2013-09-28,37037000000.0,10-K
AAPL,NetIncome,2015-10-28,2013-09-28,37037000000.0,10-K
AAPL,NetIncome,2013-10-30,2013-09-28,7512000000.0,10-K
AAPL,NetIncome,2014-10-27,2013-09-28,7512000000.0,10-K
AAPL,NetIncome,2014-01-28,2013-12-28,13072000000.0,10-Q
AAPL,NetIncome,2014-10-27,2013-12-28,13072000000.0,10-K
AAPL,NetIncome,2015-01-28,2013-12-28,13072000000.0,10-Q
AAPL,NetIncome,2015-10-28,2013-12-28,13072000000.0,10-K
AAPL,NetIncome,2014-04-24,2014-03-29,23295000000.0,10-Q
AAPL,NetIncome,2015-04-28,2014-03-29,23295000000.0,10-Q
AAPL,NetIncome,2014-04-24,2014-03-29,10223000000.0,10-Q
AAPL,NetIncome,2014-10-27,2014-03-29,10223000000.0,10-K
AAPL,NetIncome,2015-04-28,2014-03-29,10223000000.0,10-Q
AAPL,NetIncome,2015-10-28,2014-03-29,10223000000.0,10-K
AAPL,NetIncome,2014-07-23,2014-06-28,31043000000.0,10-Q
AAPL,NetIncome,2015-07-22,2014-06-28,31043000000.0,10-Q
AAPL,NetIncome,2014-07-23,2014-06-28,7748000000.0,10-Q
AAPL,NetIncome,2014-10-27,2014-06-28,7748000000.0,10-K
AAPL,NetIncome,2015-07-22,2014-06-28,7748000000.0,10-Q
AAPL,NetIncome,2015-10-28,2014-06-28,7748000000.0,10-K
AAPL,NetIncome,2014-10-27,2014-09-27,39510000000.0,10-K
AAPL,NetIncome,2015-10-28,2014-09-27,39510000000.0,10-K
AAPL,NetIncome,2014-10-27,2014-09-27,8467000000.0,10-K
AAPL,NetIncome,2015-10-28,2014-09-27,8467000000.0,10-K
AAPL,NetIncome,2015-01-28,2014-12-27,18024000000.0,10-Q
AAPL,NetIncome,2015-10-28,2014-12-27,18024000000.0,10-K
AAPL,NetIncome,2016-01-27,2014-12-27,18024000000.0,10-Q
AAPL,NetIncome,2015-04-28,2015-03-28,31593000000.0,10-Q
AAPL,NetIncome,2016-04-27,2015-03-28,31593000000.0,10-Q
AAPL,NetIncome,2015-04-28,2015-03-28,13569000000.0,10-Q
